airline,cluster,pc1,pc2
BRISTOW HELICOPTERS,0,-0.253355017,0.34103015
BRISTOW NIGERIA,0,-0.362939101,-0.011680257
BRITISH AIRWAYS,0,1.151917805,1.259116606
BRITISH INTERNATIONAL HELICOPTERS,0,-0.378652905,-0.031240656
BROMMA AIR MAINTENANCE,0,-0.440966721,-0.107145667
BRUSSELS AIRLINES,0,0.659303187,-0.30735924
BUDAPEST AIRCRAFT SERVICE,0,-0.366739125,-0.035204747
BUDDHA AIR,0,-0.306588334,0.066427906
BUFFALO AIRWAYS,0,-0.301566843,0.433774832
BUFFALO RIVER AVIATION,0,-0.515194317,-0.179086586
BUL AIR,0,-0.420997508,-0.029750298
BULGARIA - AIR FORCE,0,-0.368067572,0.126589377
BULGARIA - GOVERNMENT,0,-0.521711566,-0.221462398
BULGARIA AIR,0,6.462498262,-3.559932217
BURAQ AIR,0,-0.378652905,-0.031240656
BUSINESS AVIATION ASIA,0,-0.472055377,-0.07494292
BUSINESS WINGS,0,-0.457011977,-0.108947894
BUZZ,0,4.760805618,-1.653597984
BYSKY,0,-0.366739125,-0.035204747
CAA,0,-0.411677019,-0.000497061
CABO VERDE AIRLINES,0,17.71991395,-12.39151215
CAE,0,-0.245199377,0.409431434
CAE AVIATION,0,-0.518452942,-0.200274492
CAICOS EXPRESS AIRWAYS,0,-0.395029612,-0.015284712
CALM AIR,0,-0.398558937,-0.03764091
CALSTAR,0,-0.357325123,0.051156312
CAMAIR-CO,0,-0.46533568,-0.101554068
CAMBODIA AIRWAYS,0,-0.398558937,-0.03764091
CAMEX AIRLINES,0,-0.515194317,-0.179086586
CANADA - COAST GUARD,0,-0.304050113,0.091833241
CANADA - DEPARTMENT OF TRANSPORT,0,-0.309490085,0.17696494
CANADA - ONTARIO MINISTRY OF NATURAL RESOURCES,0,-0.317945825,0.107360349
CANADA - ROYAL CANADIAN AIR FORCE,0,-0.212535978,0.688549627
CANADA - ROYAL CANADIAN MOUNTED POLICE,0,-0.521711566,-0.221462398
CANADA - SASKATCHEWAN AIR AMBULANCE SERVICE,0,-0.347164546,-0.011046322
CANADIAN AIRWAYS CONGO,0,-0.440966721,-0.107145667
CANADIAN NORTH,0,-0.348897224,0.25833798
CANARYFLY,0,-0.327319266,0.014280396
CANAVIA,0,-0.387970964,0.029427684
CANLINK AVIATION,0,-0.282982078,0.194222461
CANWEST AIR,0,-0.343404331,0.088426024
CAPE AIR,0,-0.262485851,0.222929999
CAPITAL AIR AMBULANCE,0,-0.402088261,-0.059997108
CAPITAL AIRLINES,0,0.379688243,0.130054201
CAPITAL CITY AIR CARRIERS,0,-0.515194317,-0.179086586
CARDIG AIR,0,-0.521711566,-0.221462398
CAREFLIGHT,0,-0.380912315,0.07414008
CARGO AIR,0,-0.489125319,-0.00958334
CARGOJET AIRWAYS,0,-0.341363662,0.355537029
CARGOLUX,0,-0.313604402,0.133221423
CARIBBEAN AIRLINES,0,2.394857593,-0.998106897
CARPATAIR,0,-0.515194317,-0.179086586
CARSON AIR,0,-0.332617022,0.103810969
CASPIAN AIRLINES,0,-0.344558493,0.030900914
CASTLE AVIATION,0,-0.35666486,0.106401408
CATHAY PACIFIC,0,0.926713481,0.990011443
CATREUS,0,-0.46533568,-0.101554068
CAVOK AIR,0,-0.421994293,-0.066397362
CAYMAN AIRWAYS,0,4.431092786,-2.57586708
CB SKYSHARE,0,-0.391500288,0.007071486
CEBU PACIFIC,0,1.360801556,0.194364477
CEIBA INTERCONTINENTAL,0,-0.515194317,-0.179086586
CEMAIR,0,-0.368067572,0.126589377
CENTRAL AIR SOUTHWEST,0,-0.297197893,0.084378738
CENTRAL AIRLINES,0,-0.450141405,-0.030691357
CENTRAL MOUNTAIN AIR,0,-0.313972625,0.113784068
CENTRELINE,0,-0.43185375,-0.008065607
CHABAHAR AIRLINES,0,-0.362939101,-0.011680257
CHAIR AIRLINES,0,-0.402088261,-0.059997108
CHALAIR AVIATION,0,-0.362629346,0.025840382
CHALLENGE AIRLINES BE,0,-0.502159818,-0.094334963
CHARTER AIRLINES,0,-0.313637914,0.033112028
CHARTER JETS,0,-0.511935692,-0.15789868
CHARTRIGHT AIR,0,-0.40828189,0.16100135
CHC HELICOPTER,0,-0.26382402,0.32641331
CHENGDU AIRLINES,0,1.031631999,-0.304578942
CHEVRON USA,0,-0.344558493,0.030900914
CHICAGO JET GROUP,0,-0.402088261,-0.059997108
CHINA - AIR FORCE,0,-0.36942233,0.071363066
