airline,fleet_size,diversity,modernity_index,version_v1,qa_notes
AMC AVIATION,17,0.882352941,0,v1,
AMELIA,20,0.45,0,v1,
AMERICAN AIR CHARTER,8,0.875,0,v1,
AMERICAN JET,6,0.833333333,0,v1,
AMERICAN JET INTERNATIONAL,10,0.6,0,v1,
AMERIFLIGHT,132,0.083333333,0,v1,
AMERIJET INTERNATIONAL,12,0.5,0,v1,
AMERISTAR,12,0.333333333,0,v1,
ANAP JETS,7,0.857142857,0,v1,
ANGUILLA AIR SERVICES,6,1,0,v1,
ANTONOV AIRLINES,7,0.857142857,0,v1,
ARAB WINGS,5,1,0,v1,
ARCUS AIR,9,0.444444444,0,v1,
ARGENTINA - AIR FORCE,61,0.344262295,0,v1,
ARIANA AFGHAN AIRLINES,6,0.666666667,0,v1,
ARIK AIR,9,0.444444444,0,v1,
ARM AVIACION,7,0.714285714,0,v1,
ASG BUSINESS AVIATION,7,0.714285714,0,v1,
ASIA PACIFIC AIRLINES,5,0.8,0,v1,
ASL AIRLINES,78,0.487179487,0,v1,
ASPEN HELICOPTERS,15,0.733333333,0,v1,
ASTONFLY,17,0.117647059,0,v1,
ASTONJET,8,0.25,0,v1,
ASTRAL AVIATION,6,1,0,v1,
ATA AIRLINES,16,0.4375,0,v1,
ATI JET,21,0.142857143,0,v1,
ATLANTIC FLIGHT TRAINING ACADEMY,19,0.315789474,0,v1,
ATLAS AIR,69,0.463768116,0,v1,
ATLAS AIR SERVICE,10,0.7,0,v1,
ATMOSPHERICA AVIATION,6,0.666666667,0,v1,
ATR,71,0.042253521,0,v1,
ATSA AIRLINES,9,0.666666667,0,v1,
AURIC AIR,25,0.16,0,v1,
AURIGNY AIR SERVICES,7,0.285714286,0,v1,
AURORA,19,0.263157895,0,v1,
AUSTRIA - AIR FORCE,10,0.1,0,v1,
AVALAIR AIRCRAFT MANAGEMENT,11,0.727272727,0,v1,
AVCENTER,5,0.8,0,v1,
AVCON JET,11,0.727272727,0,v1,
