airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,pct_a220,pct_787,pct_a350,pct_a330neo,pct_neo,pct_max,pct_newgen_narrow,pct_newgen_wide
ALISERIO,11,7,0.636363636,0,0,0,0,0,0,0,0,0,0
ALK AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ALKAN AIR,21,13,0.619047619,0,0,0,0,0,0,0,0,0,0
ALL NIPPON AIRWAYS,247,20,0.08097166,0.008097166,0.481781377,0,0.012145749,0,0,0.008097166,0,0.008097166,0.012145749
ALLEGIANT AIR,131,4,0.030534351,0.003053435,0.106870229,0,0,0,0,0,0.007633588,0.007633588,0
ALLIANCE AIR,22,4,0.181818182,0,0,0,0,0,0,0,0,0,0
ALLIANCE AIRLINES,45,4,0.088888889,0,0,0,0,0,0,0,0,0,0
ALLIANCE EXECUTIVE JETS,4,3,0.75,0,0,0,0,0,0,0,0,0,0
ALLIED AIR,4,4,1,0,0,0,0,0,0,0,0,0,0
ALMASRIA UNIVERSAL AIRLINES,8,4,0.5,0,0,0,0,0,0,0,0,0,0
ALOHA AIR CARGO,9,8,0.888888889,0,0,0,0,0,0,0,0,0,0
ALPAVIA,2,1,0.5,0,0,0,0,0,0,0,0,0,0
ALPHA AVIATION,21,9,0.428571429,0,0,0,0,0,0,0,0,0,0
ALPHA THREE AVIATION,1,1,1,0,0,0,0,0,0,0,0,0,0
ALPHALAND AVIATION,2,1,0.5,0,0,0,0,0,0,0,0,0,0
ALPHASKY,3,3,1,0,0,0,0,0,0,0,0,0,0
ALPINE AIR EXPRESS,76,7,0.092105263,0,0,0,0,0,0,0,0,0,0
ALPINE FLIGHTSERVICE,2,2,1,0,0,0,0,0,0,0,0,0,0
ALROSA,5,3,0.6,0,0,0,0,0,0,0,0,0,0
ALTAGNA,2,2,1,0,0,0,0,0,0,0,0,0,0
ALTAIR AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ALTIUS AVIATION,4,3,0.75,0,0,0,0,0,0,0,0,0,0
AMAKUSA AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
AMC AIRLINES,3,2,0.666666667,0,0,0,0,0,0,0,0,0,0
AMC AVIATION,17,15,0.882352941,0,0,0,0,0,0,0,0,0,0
AMELIA,20,9,0.45,0,0,0,0,0,0,0,0,0,0
AMERICAN AIR CHARTER,8,7,0.875,0,0,0,0,0,0,0,0,0,0
AMERICAN AIRLINES,1598,29,0.018147685,0.001001252,0.142052566,0,0.001251564,0,0,0.000625782,0.000625782,0.001251564,0.001251564
AMERICAN JET,6,5,0.833333333,0,0,0,0,0,0,0,0,0,0
AMERICAN JET INTERNATIONAL,10,6,0.6,0,0,0,0,0,0,0,0,0,0
AMERIFLIGHT,132,11,0.083333333,0,0,0,0,0,0,0,0,0,0
AMERIJET INTERNATIONAL,12,6,0.5,0,0,0,0,0,0,0,0,0,0
AMERISTAR,12,4,0.333333333,0,0,0,0,0,0,0,0,0,0
ANAP JETS,7,6,0.857142857,0,0,0,0,0,0,0,0,0,0
ANDES LINEAS AEREAS,4,3,0.75,0,0,0,0,0,0,0,0,0,0
ANGARA AIRLINES,2,1,0.5,0,0,0,0,0,0,0,0,0,0
ANGUILLA AIR SERVICES,6,6,1,0,0,0,0,0,0,0,0,0,0
ANIMAWINGS,4,3,0.75,0.15,0.5,0.25,0,0,0,0,0,0.25,0
ANTONOV AIRLINES,7,6,0.857142857,0,0,0,0,0,0,0,0,0,0
APG AIRLINES,1,1,1,0,0,0,0,0,0,0,0,0,0
ARAB WINGS,5,5,1,0,0,0,0,0,0,0,0,0,0
ARAJET,10,1,0.1,0.04,1,0,0,0,0,0,0.1,0.1,0
