airline,fleet_size,n_models,diversity,modernity_index,new_gen_share,cluster
ATA AIRLINES,16,7.0,0.4375,0.0,0.0,0
ATI JET,21,3.0,0.1428571428571428,0.0,0.0,0
ATLANTA AIR CHARTER,3,2.0,0.6666666666666666,0.0,0.0,0
ATLANTIC AIRWAYS,6,3.0,0.5,0.066666667,0.3333333333333333,1
ATLANTIC FLIGHT TRAINING ACADEMY,19,6.0,0.3157894736842105,0.0,0.0,0
ATLAS AIR,69,32.0,0.463768115942029,0.0,0.0,0
ATLAS AIR SERVICE,10,7.0,0.7,0.0,0.0,0
ATM INFORMATION SERVICE JAPAN,4,2.0,0.5,0.0,0.0,0
ATMOSPHERICA AVIATION,6,4.0,0.6666666666666666,0.0,0.0,0
ATP FLIGHT SCHOOL,4,2.0,0.5,0.0,0.0,0
ATR,71,3.0,0.0422535211267605,0.0,0.0,0
ATRAN,3,2.0,0.6666666666666666,0.0,0.0,0
ATSA AIRLINES,9,6.0,0.6666666666666666,0.0,0.0,0
AUCKLAND RESCUE HELICOPTER,4,2.0,0.5,0.0,0.0,0
AURIC AIR,25,4.0,0.16,0.0,0.0,0
AURIGNY AIR SERVICES,7,2.0,0.2857142857142857,0.0,0.0,0
AURORA,19,5.0,0.2631578947368421,0.0,0.0,0
AURORA FLIGHT SCIENCES,4,3.0,0.75,0.0,0.0,0
AUSTRALIA - CUSTOMS,1,1.0,1.0,0.0,0.0,0
AUSTRALIA - FEDERAL POLICE,1,1.0,1.0,0.0,0.0,0
AUSTRALIA - ROYAL AUSTRALIAN AIR FORCE,151,14.0,0.0927152317880794,0.002649007,0.0066225165562913,0
AUSTRIA - AIR FORCE,10,1.0,0.1,0.0,0.0,0
AUSTRIAN AIRLINES,68,11.0,0.1617647058823529,0.011764706,0.1029411764705882,0
AV8JET,4,4.0,1.0,0.0,0.0,0
AVA AIRLINES,4,4.0,1.0,0.0,0.0,0
AVALAIR AIRCRAFT MANAGEMENT,11,8.0,0.7272727272727273,0.0,0.0,0
AVANTI AIR,2,1.0,0.5,0.0,0.0,0
AVCENTER,5,4.0,0.8,0.0,0.0,0
AVCON JET,11,8.0,0.7272727272727273,0.0,0.0,0
AVELO AIRLINES,19,6.0,0.3157894736842105,0.0,0.0,0
AVIA TRAFFIC,6,5.0,0.8333333333333334,0.0,0.0,0
AVIACON ZITOTRANS,5,1.0,0.2,0.0,0.0,0
AVIANCA,151,4.0,0.0264900662251655,0.005298013,0.4172185430463576,1
AVIANCA CARGO,8,2.0,0.25,0.0,0.0,0
AVIASERVICE,5,4.0,0.8,0.0,0.0,0
AVIASTAR,1,1.0,1.0,0.0,0.0,0
AVIASTAR-TU,8,3.0,0.375,0.0,0.0,0
AVIATION ADVENTURES,54,26.0,0.4814814814814814,0.0,0.0,0
AVIATION ADVISOR,16,10.0,0.625,0.0,0.0,0
AVIATION DAFENSE SERVICE,5,0.0,0.0,0.0,0.0,0
AVIATION HORIZONS,5,5.0,1.0,0.0,0.0,0
AVIATION SERVICES MANAGEMENT,2,2.0,1.0,0.0,0.0,0
AVIATOR COLLEGE,54,10.0,0.1851851851851851,0.0,0.0,0
AVIATOR ZONE ACADEMY,16,6.0,0.375,0.0,0.0,0
AVIATOR.S5,2,2.0,1.0,0.0,0.0,0
AVIATSA,1,1.0,1.0,0.0,0.0,0
